date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:04:15	20136/20136	---MC-	200	added ('OK')	text/html	etag:%2299766580cf43a327c925462fc3a49c901788055455%22	https://www.walldrug.com/	/Users/eric/wall_drug_store/walldrug/www.walldrug.com/index.html	(from )
20:04:15	284/284	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Aug%202026%2002:04:15%20GMT	https://www.walldrug.com/robots.txt		(from )
20:04:15	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Thu,%2015%20May%202025%2020:46:39%20GMT	https://www.walldrug.com/favicon.ico	/Users/eric/wall_drug_store/walldrug/www.walldrug.com/favicon.ico	(from https://www.walldrug.com/)
20:04:16	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	/Users/eric/wall_drug_store/walldrug/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://www.walldrug.com/)
20:04:17	9805/9805	---M--	200	added ('OK')	text/javascript	date:Fri,%2016%20May%202025%2018:31:33%20GMT	https://www.walldrug.com/theme/walldrug/scripts/typed.js	/Users/eric/wall_drug_store/walldrug/www.walldrug.com/theme/walldrug/scripts/typed.js	(from https://www.walldrug.com/)
20:04:17	500913/500913	---M--	200	added ('OK')	text/css	date:Thu,%2006%20Aug%202026%2023:23:45%20GMT	https://www.walldrug.com/theme/walldrug/css/cached-bundle-head.css?ver=042926	/Users/eric/wall_drug_store/walldrug/www.walldrug.com/theme/walldrug/css/cached-bundle-head7f78.css	(from https://www.walldrug.com/)
20:04:17	658777/658777	---M--	200	added ('OK')	text/javascript	date:Thu,%2006%20Aug%202026%2023:23:45%20GMT	https://www.walldrug.com/theme/walldrug/scripts/cached-bundle-head.js?ver=042926	/Users/eric/wall_drug_store/walldrug/www.walldrug.com/theme/walldrug/scripts/cached-bundle-head7f78.js	(from https://www.walldrug.com/)
20:04:17	33000/33000	---M--	200	added ('OK')	image/jpeg	date:Tue,%2001%20Feb%202022%2021:09:38%20GMT	https://www.walldrug.com/assets/images/uploads/og-logo.jpg	/Users/eric/wall_drug_store/walldrug/www.walldrug.com/assets/images/uploads/og-logo.jpg	(from https://www.walldrug.com/)
20:04:17	10135/10135	---M--	200	added ('OK')	image/png	date:Thu,%2015%20May%202025%2018:59:44%20GMT	https://www.walldrug.com/assets/images/uploads/theme/walldruglogo.png	/Users/eric/wall_drug_store/walldrug/www.walldrug.com/assets/images/uploads/theme/walldruglogo.png	(from https://www.walldrug.com/)
20:04:18	283/283	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Aug%202026%2002:04:18%20GMT	https://www.walldrug.com/news/list	/Users/eric/wall_drug_store/walldrug/www.walldrug.com/news/list	(from https://www.walldrug.com/)
